R,G,B,y
11,11,11,0
206,206,206,0
235,20,15,1
245,235,234,1
215,9,91,0
10,10,10,0
163,163,163,0
236,21,16,1
252,233,235,1
215,9,91,0
11,11,11,0
131,131,131,0
237,22,17,1
255,226,230,1
214,11,92,0
10,10,10,0
134,134,134,0
224,8,9,1
20,16,92,0
0,0,0,0
251,251,251,0
235,21,13,1
224,8,11,1
17,16,82,0
0,0,0,0
251,251,251,0
232,19,11,1
227,9,10,1
14,16,75,0
0,0,0,0
251,251,251,0
231,18,10,1
227,9,10,1
12,15,68,0
0,0,0,0
251,251,251,0
233,21,10,1
228,8,8,1
13,14,62,0
1,1,1,0
250,250,250,0
228,8,8,1
12,13,59,0
1,1,1,0
250,250,250,0
235,21,11,1
228,8,8,1
14,13,57,0
1,1,1,0
250,250,250,0
234,20,10,1
229,9,9,1
11,12,56,0
1,1,1,0
250,250,250,0
234,20,10,1
229,10,8,1
10,13,54,0
1,1,1,0
250,250,250,0
233,19,9,1
229,10,8,1
10,14,51,0
1,1,1,0
250,250,250,0
229,10,8,1
9,13,48,0
1,1,1,0
250,250,250,0
229,17,6,1
228,9,7,1
9,14,44,0
1,1,1,0
250,250,250,0
230,16,6,1
230,8,7,1
10,14,41,0
0,0,0,0
250,250,250,0
231,14,5,1
230,8,7,1
13,14,35,0
0,0,0,0
250,250,250,0
231,13,4,1
231,7,7,1
14,12,26,0
0,0,0,0
250,250,250,0
232,6,7,1
22,10,24,0
0,0,0,0
250,250,250,0
235,7,4,1
231,7,7,1
33,4,24,0
1,1,1,0
250,250,250,0
236,7,4,1
231,7,7,1
47,0,25,0
1,1,1,0
250,250,250,0
235,6,3,1
231,7,7,1
71,0,32,0
1,1,1,0
250,250,250,0
236,4,2,1
232,8,8,1
99,2,45,0
1,1,1,0
250,250,250,0
232,8,8,1
134,12,63,0
1,1,1,0
249,249,249,0
236,2,1,1
232,8,8,1
165,20,79,0
1,1,1,0
249,249,249,0
236,2,1,1
232,10,9,1
189,20,87,0
1,1,1,0
249,249,249,0
236,2,1,1
232,10,9,1
203,15,89,0
1,1,1,0
249,249,249,0
238,2,2,1
232,10,9,1
213,12,90,0
2,2,2,0
250,248,249,0
232,10,9,1
216,7,88,0
2,2,2,0
250,248,249,0
238,4,3,1
232,10,9,1
214,6,84,0
2,2,2,0
250,248,249,0
238,4,3,1
232,10,9,1
213,8,85,0
2,2,2,0
250,248,249,0
237,5,5,1
233,10,11,1
208,10,85,0
3,3,3,0
250,248,249,0
238,6,6,1
234,11,12,1
208,10,85,0
4,4,4,0
250,248,249,0
237,14,15,1
213,8,85,0
4,4,4,0
250,248,249,0
237,7,7,1
237,17,17,1
214,7,85,0
5,5,5,0
249,247,248,0
236,6,6,1
235,22,18,1
215,6,87,0
6,6,6,0
249,247,248,0
233,8,6,1
236,24,21,1
215,6,87,0
8,8,8,0
248,246,247,0
230,8,7,1
236,23,25,1
215,6,87,0
9,9,9,0
248,246,247,0
236,25,31,1
216,7,88,0
10,10,10,0
248,246,247,0
214,15,8,1
231,28,34,1
216,7,88,0
13,13,13,0
247,247,247,0
201,17,7,1
221,32,38,1
216,7,88,0
13,13,13,0
247,247,247,0
188,18,5,1
225,59,63,1
217,8,89,0
13,13,13,0
247,247,247,0
178,22,7,1
235,99,101,1
217,8,89,0
15,15,15,0
247,247,247,0
255,159,163,1
217,8,91,0
19,19,19,0
247,247,247,0
164,28,14,1
254,188,190,1
217,8,91,0
26,26,26,0
247,247,247,0
153,25,12,1
244,209,213,1
217,8,91,0
35,35,35,0
247,247,247,0
142,24,12,1
237,225,229,1
217,8,91,0
41,41,41,0
247,247,247,0
131,23,11,1
242,240,243,1
217,8,91,0
38,38,38,0
242,242,242,0
236,237,239,1
217,8,91,0
29,29,29,0
213,213,213,0
112,20,9,1
237,237,235,1
215,9,91,0
19,19,19,0
182,182,182,0
100,18,6,1
244,239,236,1
213,10,91,0
15,15,15,0
133,133,133,0
86,14,2,1
255,239,240,1
212,11,91,0
14,14,14,0
120,120,120,0
81,13,2,1
249,223,226,1
212,11,91,0
12,12,12,0
157,157,157,0
223,9,9,1
20,16,103,0
0,0,0,0
251,251,251,0
229,17,14,1
224,8,9,1
16,17,97,0
0,0,0,0
251,251,251,0
226,18,14,1
226,8,9,1
14,16,90,0
0,0,0,0
250,250,250,0
223,22,15,1
228,8,10,1
11,14,83,0
0,0,0,0
250,250,250,0
217,20,12,1
230,7,8,1
13,12,80,0
1,1,1,0
250,250,250,0
230,7,8,1
15,14,80,0
1,1,1,0
250,250,250,0
206,15,7,1
231,8,9,1
14,12,77,0
1,1,1,0
249,249,249,0
208,17,9,1
231,8,9,1
13,13,75,0
1,1,1,0
249,249,249,0
205,17,8,1
230,11,9,1
13,14,71,0
1,1,1,0
249,249,249,0
201,13,4,1
230,11,9,1
12,14,63,0
1,1,1,0
249,249,249,0
229,10,8,1
11,14,57,0
1,1,1,0
249,249,249,0
202,20,9,1
229,10,8,1
13,13,49,0
1,1,1,0
249,249,249,0
206,24,13,1
230,8,7,1
15,12,43,0
0,0,0,0
249,249,249,0
211,27,17,1
230,8,7,1
19,10,37,0
0,0,0,0
249,249,249,0
217,29,20,1
231,7,7,1
27,12,31,0
0,0,0,0
249,249,249,0
231,7,7,1
34,5,25,0
0,0,0,0
249,249,249,0
230,25,20,1
231,7,7,1
53,3,30,0
1,1,1,0
249,249,249,0
232,23,19,1
231,7,7,1
78,2,38,0
1,1,1,0
249,249,249,0
232,23,18,1
231,7,7,1
103,2,46,0
1,1,1,0
249,249,249,0
230,21,16,1
232,8,8,1
134,7,60,0
1,1,1,0
249,249,249,0
232,8,8,1
164,14,75,0
1,1,1,0
249,249,249,0
229,17,13,1
232,8,8,1
183,14,81,0
1,1,1,0
249,249,249,0
231,18,12,1
232,8,8,1
198,14,86,0
1,1,1,0
249,249,249,0
231,18,12,1
233,9,9,1
205,10,86,0
1,1,1,0
249,249,249,0
231,16,11,1
233,9,9,1
210,7,86,0
2,2,2,0
248,248,248,0
233,9,9,1
213,6,86,0
2,2,2,0
248,248,248,0
231,12,8,1
233,9,9,1
214,7,85,0
3,3,3,0
248,248,248,0
231,12,8,1
233,9,9,1
211,9,85,0
3,3,3,0
248,248,248,0
233,11,8,1
233,9,10,1
208,10,85,0
3,3,3,0
248,248,248,0
234,10,8,1
234,10,11,1
208,10,85,0
4,4,4,0
248,248,248,0
236,12,13,1
210,9,87,0
5,5,5,0
249,247,248,0
234,9,7,1
238,16,15,1
211,8,87,0
6,6,6,0
249,247,248,0
233,8,6,1
237,20,15,1
211,8,87,0
7,7,7,0
248,246,247,0
233,8,6,1
238,21,16,1
212,9,88,0
8,8,8,0
248,246,247,0
233,8,6,1
239,20,18,1
214,9,88,0
10,10,10,0
248,246,247,0
242,22,24,1
214,9,88,0
11,11,11,0
248,246,247,0
231,6,4,1
240,24,29,1
215,8,88,0
13,13,13,0
244,244,244,0
231,6,4,1
233,28,33,1
216,7,88,0
12,12,12,0
251,251,251,0
230,5,3,1
230,45,50,1
217,8,89,0
15,15,15,0
246,246,246,0
231,6,4,1
227,73,75,1
216,7,88,0
20,20,20,0
250,250,250,0
235,116,120,1
216,7,90,0
20,20,20,0
248,248,248,0
231,7,5,1
252,170,172,1
216,7,90,0
42,42,42,0
247,247,247,0
232,8,6,1
255,206,209,1
217,8,91,0
61,61,61,0
244,244,244,0
232,10,7,1
242,220,222,1
217,8,91,0
65,65,65,0
234,234,234,0
233,14,10,1
234,225,228,1
217,8,91,0
50,50,50,0
224,224,224,0
237,237,237,1
216,9,91,0
34,34,34,0
174,174,174,0
236,21,16,1
240,240,240,1
213,10,91,0
23,23,23,0
141,141,141,0
236,23,17,1
242,238,237,1
210,12,91,0
20,20,20,0
112,112,112,0
236,23,17,1
236,222,222,1
210,13,92,0
16,16,16,0
138,138,138,0
236,23,17,1
243,218,221,1
210,13,92,0
11,11,11,0
170,170,170,0
224,10,8,1
21,17,112,0
0,0,0,0
251,251,251,0
235,23,12,1
224,8,9,1
18,19,111,0
0,0,0,0
251,251,251,0
232,20,9,1
227,7,9,1
15,17,104,0
0,0,0,0
250,250,250,0
230,19,8,1
228,8,10,1
13,15,102,0
0,0,0,0
250,250,250,0
233,20,12,1
230,7,8,1
15,12,101,0
1,1,1,0
250,250,250,0
231,8,9,1
17,13,100,0
1,1,1,0
250,250,250,0
234,21,13,1
231,8,9,1
16,12,99,0
1,1,1,0
249,249,249,0
231,18,10,1
232,9,10,1
15,13,96,0
1,1,1,0
249,249,249,0
231,20,11,1
233,11,10,1
15,15,89,0
1,1,1,0
249,249,249,0
229,21,11,1
230,11,9,1
16,16,80,0
1,1,1,0
249,249,249,0
230,11,9,1
18,15,68,0
1,1,1,0
249,249,249,0
224,20,9,1
229,10,8,1
21,14,58,0
1,1,1,0
249,249,249,0
225,18,8,1
231,9,8,1
26,12,48,0
0,0,0,0
249,249,249,0
227,16,7,1
231,9,8,1
31,10,41,0
0,0,0,0
249,249,249,0
229,15,7,1
231,7,7,1
38,6,30,0
0,0,0,0
249,249,249,0
231,7,7,1
52,2,29,0
0,0,0,0
249,249,249,0
234,9,5,1
231,7,7,1
78,4,39,0
1,1,1,0
249,249,249,0
236,8,5,1
231,7,7,1
107,6,50,0
1,1,1,0
249,249,249,0
236,8,5,1
231,7,7,1
136,5,59,0
1,1,1,0
249,249,249,0
236,7,4,1
232,8,8,1
163,9,71,0
1,1,1,0
249,249,249,0
232,8,8,1
187,13,82,0
1,1,1,0
249,249,249,0
237,5,3,1
232,8,8,1
198,12,85,0
1,1,1,0
249,249,249,0
236,4,2,1
232,8,8,1
205,10,86,0
1,1,1,0
249,249,249,0
236,4,2,1
232,8,8,1
209,8,86,0
1,1,1,0
249,249,249,0
237,3,2,1
233,9,9,1
212,7,86,0
2,2,2,0
248,248,248,0
233,9,9,1
213,6,86,0
2,2,2,0
248,248,248,0
237,5,3,1
233,9,9,1
214,7,85,0
3,3,3,0
248,248,248,0
237,5,3,1
233,9,9,1
213,8,85,0
3,3,3,0
248,248,248,0
237,5,5,1
233,9,10,1
211,9,85,0
4,4,4,0
248,248,248,0
237,5,5,1
233,9,10,1
210,9,85,0
4,4,4,0
248,248,248,0
235,11,12,1
210,9,87,0
5,5,5,0
249,247,248,0
237,7,7,1
237,13,13,1
210,9,87,0
6,6,6,0
249,247,248,0
235,7,8,1
239,17,12,1
210,9,87,0
7,7,7,0
248,246,247,0
232,8,8,1
239,17,12,1
211,10,88,0
9,9,9,0
248,246,247,0
227,8,6,1
239,14,12,1
212,9,88,0
10,10,10,0
248,246,247,0
243,15,16,1
214,9,88,0
11,11,11,0
248,246,247,0
212,18,9,1
244,18,22,1
215,8,88,0
12,12,12,0
246,246,246,0
199,18,7,1
240,24,29,1
215,8,88,0
13,13,13,0
249,249,249,0
181,19,4,1
236,37,42,1
215,6,87,0
16,16,16,0
247,247,247,0
168,23,6,1
228,55,59,1
215,6,87,0
21,21,21,0
246,246,246,0
231,95,97,1
214,5,88,0
26,26,26,0
246,246,246,0
149,29,12,1
252,149,152,1
214,5,88,0
53,53,53,0
243,243,243,0
138,26,12,1
255,195,197,1
214,7,89,0
75,75,75,0
243,243,243,0
125,23,9,1
255,223,224,1
215,8,90,0
78,78,78,0
232,232,232,0
112,20,9,1
246,224,226,1
214,8,90,0
49,49,49,0
196,196,196,0
235,223,225,1
213,10,91,0
33,33,33,0
144,144,144,0
90,13,3,1
232,223,224,1
208,10,89,0
21,21,21,0
119,119,119,0
81,13,2,1
238,228,229,1
207,12,90,0
19,19,19,0
123,123,123,0
74,12,1,1
242,222,224,1
205,14,91,0
16,16,16,0
171,171,171,0
69,11,0,1
237,206,211,1
205,19,94,0
12,12,12,0
207,207,207,0
224,10,8,1
23,19,116,0
0,0,0,0
251,251,251,0
224,19,16,1
224,9,7,1
20,20,118,0
0,0,0,0
251,251,251,0
225,20,17,1
227,7,7,1
18,17,119,0
0,0,0,0
250,250,250,0
224,21,15,1
227,7,7,1
16,15,119,0
0,0,0,0
250,250,250,0
220,18,14,1
230,7,8,1
19,13,123,0
1,1,1,0
249,251,250,0
231,8,9,1
20,13,125,0
1,1,1,0
249,251,250,0
210,13,7,1
233,9,9,1
20,13,125,0
1,1,1,0
248,250,249,0
212,15,9,1
232,10,9,1
18,15,120,0
1,1,1,0
248,250,249,0
213,16,10,1
233,11,10,1
18,17,111,0
1,1,1,0
248,250,249,0
211,14,8,1
233,11,10,1
20,17,98,0
1,1,1,0
248,250,249,0
230,11,9,1
25,16,81,0
1,1,1,0
248,250,249,0
211,20,12,1
230,11,9,1
30,13,67,0
1,1,1,0
248,250,249,0
212,24,15,1
231,9,8,1
37,10,53,0
0,0,0,0
248,250,249,0
215,27,18,1
231,9,8,1
46,6,43,0
0,0,0,0
248,250,249,0
220,29,19,1
232,8,8,1
56,1,33,0
0,0,0,0
248,250,249,0
232,8,8,1
76,2,37,0
0,0,0,0
248,250,249,0
230,25,20,1
232,6,7,1
109,8,52,0
1,1,1,0
248,250,249,0
233,24,20,1
232,6,7,1
140,13,66,0
1,1,1,0
248,250,249,0
231,22,17,1
232,6,7,1
168,12,75,0
1,1,1,0
248,250,249,0
230,21,16,1
232,6,7,1
189,12,82,0
1,1,1,0
248,250,249,0
233,7,8,1
204,12,87,0
1,1,1,0
248,250,249,0
230,18,14,1
233,7,8,1
210,9,87,0
1,1,1,0
248,250,249,0
231,18,12,1
233,7,8,1
210,7,86,0
1,1,1,0
248,250,249,0
231,18,12,1
233,7,8,1
212,7,86,0
1,1,1,0
248,250,249,0
230,15,10,1
234,8,9,1
213,6,86,0
2,2,2,0
248,248,248,0
234,8,9,1
213,6,86,0
2,2,2,0
248,248,248,0
229,12,7,1
234,8,9,1
215,7,85,0
3,3,3,0
248,248,248,0
230,11,7,1
234,8,9,1
215,7,85,0
3,3,3,0
248,248,248,0
232,10,7,1
233,7,9,1
215,7,85,0
4,4,4,0
248,248,248,0
232,10,7,1
233,7,9,1
214,7,85,0
5,5,5,0
248,248,248,0
234,8,10,1
211,8,87,0
6,6,6,0
249,247,248,0
232,8,6,1
236,10,11,1
210,9,87,0
7,7,7,0
248,246,247,0
233,8,6,1
238,15,10,1
211,8,87,0
8,8,8,0
248,246,247,0
233,8,6,1
239,14,8,1
211,8,87,0
9,9,9,0
248,246,247,0
234,9,7,1
243,11,9,1
213,8,87,0
10,10,10,0
248,246,247,0
243,9,10,1
213,8,87,0
11,11,11,0
248,246,247,0
233,8,6,1
244,11,14,1
214,7,87,0
12,12,12,0
247,247,247,0
232,7,5,1
244,19,23,1
215,6,87,0
14,14,14,0
247,247,247,0
232,7,5,1
241,30,36,1
218,7,88,0
19,19,19,0
249,249,249,0
231,7,5,1
230,44,47,1
217,6,87,0
29,29,29,0
246,246,246,0
223,67,70,1
215,6,87,0
41,41,41,0
246,246,246,0
230,8,5,1
244,120,122,1
214,7,87,0
70,70,70,0
241,241,241,0
232,10,7,1
255,168,169,1
212,7,86,0
81,81,81,0
235,235,235,0
232,13,9,1
255,199,201,1
211,8,87,0
74,74,74,0
217,217,217,0
234,17,12,1
255,214,217,1
210,9,87,0
45,45,45,0
169,169,169,0
255,223,226,1
207,11,87,0
29,29,29,0
133,133,133,0
237,24,18,1
252,226,229,1
202,10,87,0
17,17,17,0
126,126,126,0
237,26,19,1
249,222,227,1
197,11,86,0
16,16,16,0
158,158,158,0
237,26,19,1
251,218,225,1
191,14,86,0
15,15,15,0
205,205,205,0
237,26,19,1
236,195,203,1
190,21,90,0
12,12,12,0
230,230,230,0
223,11,7,1
24,18,114,0
0,0,0,0
251,251,251,0
235,24,13,1
224,9,7,1
21,19,118,0
0,0,0,0
251,251,251,0
232,21,10,1
226,8,7,1
20,17,122,0
0,0,0,0
250,250,250,0
230,19,10,1
227,7,7,1
20,16,129,0
0,0,0,0
250,250,250,0
232,21,12,1
230,7,8,1
24,14,136,0
1,1,1,0
249,251,250,0
231,8,9,1
26,16,141,0
1,1,1,0
249,251,250,0
233,20,12,1
233,9,9,1
25,15,140,0
1,1,1,0
248,250,249,0
227,18,11,1
233,9,9,1
24,16,135,0
1,1,1,0
248,250,249,0
227,20,12,1
234,12,11,1
24,16,125,0
1,1,1,0
248,250,249,0
224,23,13,1
233,11,10,1
27,16,110,0
1,1,1,0
248,250,249,0
231,12,10,1
35,14,89,0
1,1,1,0
248,250,249,0
221,25,13,1
230,11,9,1
42,12,72,0
1,1,1,0
248,250,249,0
221,23,12,1
232,10,9,1
54,8,57,0
0,0,0,0
248,250,249,0
223,21,11,1
231,9,8,1
64,3,45,0
0,0,0,0
248,250,249,0
225,16,9,1
232,8,8,1
82,1,42,0
0,0,0,0
248,250,249,0
232,8,8,1
107,6,50,0
0,0,0,0
248,250,249,0
233,11,6,1
232,6,7,1
140,13,66,0
1,1,1,0
248,250,249,0
235,10,6,1
232,6,7,1
169,17,78,0
1,1,1,0
248,250,249,0
234,9,5,1
232,6,7,1
190,13,83,0
1,1,1,0
248,250,249,0
233,8,4,1
232,6,7,1
204,9,85,0
1,1,1,0
248,250,249,0
233,7,8,1
212,7,86,0
1,1,1,0
248,250,249,0
234,6,3,1
233,7,8,1
213,4,85,0
1,1,1,0
248,250,249,0
235,6,3,1
233,7,8,1
213,6,86,0
1,1,1,0
248,250,249,0
235,6,3,1
233,7,8,1
213,6,86,0
1,1,1,0
248,250,249,0
234,5,2,1
234,8,9,1
213,6,86,0
2,2,2,0
248,248,248,0
234,8,9,1
214,5,86,0
2,2,2,0
248,248,248,0
236,4,2,1
234,8,9,1
217,6,85,0
3,3,3,0
248,248,248,0
236,4,2,1
233,7,8,1
218,5,85,0
3,3,3,0
248,248,248,0
236,4,4,1
232,6,8,1
218,5,85,0
4,4,4,0
248,248,248,0
237,5,5,1
232,6,8,1
217,6,85,0
5,5,5,0
248,248,248,0
233,7,9,1
214,7,87,0
6,6,6,0
249,247,248,0
236,6,6,1
235,9,10,1
213,8,87,0
7,7,7,0
248,246,247,0
233,7,8,1
234,9,5,1
213,8,87,0
8,8,8,0
248,246,247,0
230,8,7,1
240,12,9,1
213,8,87,0
10,10,10,0
248,246,247,0
226,8,6,1
244,12,10,1
213,8,87,0
11,11,11,0
248,246,247,0
243,9,10,1
213,8,87,0
12,12,12,0
248,246,247,0
214,20,11,1
243,9,10,1
214,7,87,0
13,13,13,0
248,248,248,0
199,21,9,1
246,17,20,1
213,6,86,0
16,16,16,0
246,246,246,0
177,20,5,1
244,28,31,1
212,5,85,0
21,21,21,0
248,248,248,0
162,23,4,1
236,37,40,1
212,7,86,0
37,37,37,0
247,247,247,0
232,58,60,1
211,8,87,0
56,56,56,0
245,245,245,0
128,19,0,1
237,87,89,1
208,10,87,0
80,80,80,0
239,239,239,0
117,20,3,1
248,125,128,1
203,11,86,0
75,75,75,0
219,219,219,0
106,18,4,1
255,158,163,1
200,12,86,0
53,53,53,0
193,193,193,0
94,14,3,1
255,187,193,1
197,13,85,0
38,38,38,0
140,140,140,0
255,198,206,1
193,13,84,0
25,25,25,0
135,135,135,0
77,10,1,1
255,211,219,1
191,17,88,0
16,16,16,0
152,152,152,0
71,11,1,1
255,215,224,1
181,16,84,0
15,15,15,0
196,196,196,0
66,12,2,1
255,208,220,1
171,17,81,0
14,14,14,0
224,224,224,0
63,10,2,1
226,170,183,1
161,22,81,0
12,12,12,0
233,233,233,0
221,12,7,1
27,17,104,0
0,0,0,0
251,251,251,0
222,27,25,1
224,11,7,1
23,16,109,0
0,0,0,0
251,251,251,0
223,24,21,1
225,10,7,1
24,16,119,0
0,0,0,0
250,250,250,0
223,21,17,1
227,9,7,1
28,16,128,0
0,0,0,0
250,250,250,0
219,20,17,1
228,9,7,1
32,16,140,0
1,1,1,0
249,251,250,0
231,9,8,1
34,17,145,0
1,1,1,0
249,251,250,0
217,15,11,1
233,9,9,1
33,17,149,0
1,1,1,0
248,250,249,0
215,13,9,1
233,9,9,1
32,17,142,0
1,1,1,0
248,250,249,0
217,14,10,1
233,11,10,1
31,17,130,0
1,1,1,0
248,250,249,0
218,15,11,1
233,11,10,1
35,15,114,0
1,1,1,0
248,250,249,0
233,11,10,1
45,12,93,0
1,1,1,0
248,250,249,0
217,20,12,1
233,11,10,1
56,10,75,0
1,1,1,0
248,250,249,0
216,23,14,1
232,10,9,1
72,4,61,0
0,0,0,0
248,250,249,0
218,27,17,1
232,10,9,1
87,0,51,0
0,0,0,0
248,250,249,0
221,28,19,1
232,8,8,1
114,6,56,0
0,0,0,0
248,250,249,0
231,7,7,1
141,10,64,0
0,0,0,0
248,250,249,0
229,26,20,1
234,8,9,1
167,15,76,0
1,1,1,0
248,250,249,0
231,23,19,1
233,7,8,1
186,15,83,0
1,1,1,0
248,250,249,0
232,23,18,1
232,6,7,1
202,10,85,0
1,1,1,0
248,250,249,0
233,21,17,1
232,6,7,1
211,6,85,0
1,1,1,0
248,250,249,0
233,7,8,1
214,3,84,0
1,1,1,0
248,250,249,0
233,20,16,1
233,7,8,1
215,4,85,0
1,1,1,0
248,250,249,0
232,19,13,1
233,7,8,1
214,5,86,0
1,1,1,0
248,250,249,0
231,18,12,1
233,7,8,1
214,5,86,0
1,1,1,0
248,250,249,0
231,16,11,1
234,8,9,1
214,5,86,0
2,2,2,0
247,249,248,0
234,8,9,1
214,5,86,0
2,2,2,0
247,249,248,0
229,12,7,1
234,8,9,1
218,5,85,0
3,3,3,0
248,248,248,0
229,12,7,1
233,7,8,1
220,4,85,0
3,3,3,0
248,248,248,0
229,10,6,1
235,6,9,1
221,4,85,0
4,4,4,0
248,248,248,0
231,9,6,1
234,5,8,1
220,4,85,0
5,5,5,0
248,248,248,0
234,5,8,1
217,6,87,0
6,6,6,0
247,247,247,0
231,9,6,1
232,6,7,1
215,6,87,0
7,7,7,0
247,247,247,0
233,9,7,1
235,10,8,1
215,6,87,0
8,8,8,0
248,246,247,0
233,9,7,1
236,11,9,1
214,7,87,0
10,10,10,0
248,246,247,0
234,9,7,1
239,11,10,1
214,7,87,0
11,11,11,0
248,246,247,0
239,11,10,1
212,7,86,0
12,12,12,0
248,246,247,0
234,9,7,1
239,11,10,1
212,7,86,0
17,17,17,0
248,248,248,0
235,10,8,1
239,13,14,1
210,7,86,0
20,20,20,0
247,247,247,0
234,10,8,1
239,21,22,1
203,5,82,0
29,29,29,0
246,246,246,0
233,9,7,1
235,26,29,1
202,7,83,0
47,47,47,0
246,246,246,0
228,35,38,1
198,10,84,0
65,65,65,0
235,235,235,0
231,9,6,1
227,51,54,1
194,14,85,0
79,79,79,0
228,228,228,0
232,13,9,1
228,71,78,1
188,17,85,0
64,64,64,0
191,191,191,0
234,17,12,1
237,100,108,1
182,17,83,0
38,38,38,0
164,164,164,0
235,20,15,1
252,135,144,1
176,17,81,0
30,30,30,0
141,141,141,0
253,151,164,1
170,18,79,0
21,21,21,0
159,159,159,0
237,26,19,1
255,166,181,1
168,24,85,0
16,16,16,0
188,188,188,0
236,27,20,1
250,169,184,1
155,22,79,0
16,16,16,0
228,228,228,0
237,28,21,1
233,156,174,1
138,20,72,0
14,14,14,0
243,243,243,0
238,29,22,1
198,124,141,1
122,23,69,0
12,12,12,0
243,243,243,0
219,12,4,1
30,16,91,0
0,0,0,0
251,251,251,0
235,27,17,1
222,10,6,1
28,15,97,0
0,0,0,0
251,251,251,0
232,24,14,1
224,11,7,1
29,14,107,0
0,0,0,0
250,250,250,0
230,21,14,1
225,10,7,1
34,15,120,0
0,0,0,0
250,250,250,0
233,22,15,1
229,10,8,1
41,18,134,0
1,1,1,0
249,251,250,0
231,9,8,1
43,19,143,0
1,1,1,0
249,251,250,0
231,20,13,1
232,10,9,1
40,20,145,0
1,1,1,0
248,250,249,0
225,18,12,1
233,9,9,1
38,18,139,0
1,1,1,0
248,250,249,0
222,21,13,1
233,11,10,1
37,15,126,0
1,1,1,0
248,250,249,0
217,23,13,1
233,11,10,1
41,11,109,0
1,1,1,0
248,250,249,0
233,11,10,1
52,7,88,0
1,1,1,0
248,250,249,0
212,26,13,1
233,11,10,1
67,5,72,0
1,1,1,0
248,250,249,0
215,24,14,1
233,11,10,1
86,1,60,0
0,0,0,0
248,250,249,0
217,23,14,1
232,10,9,1
105,0,51,0
0,0,0,0
248,250,249,0
222,19,13,1
232,8,8,1
145,12,69,0
0,0,0,0
248,250,249,0
232,8,8,1
168,14,76,0
0,0,0,0
248,250,249,0
229,12,7,1
233,7,8,1
186,15,83,0
1,1,1,0
248,250,249,0
230,11,7,1
233,7,8,1
198,10,84,0
1,1,1,0
248,250,249,0
231,9,6,1
233,7,8,1
209,6,85,0
1,1,1,0
248,250,249,0
231,9,6,1
233,7,8,1
215,4,85,0
1,1,1,0
248,250,249,0
233,7,8,1
215,2,84,0
1,1,1,0
248,250,249,0
230,7,2,1
233,7,8,1
217,4,86,0
1,1,1,0
248,250,249,0
231,6,2,1
233,7,8,1
214,5,86,0
1,1,1,0
248,250,249,0
233,5,2,1
233,7,8,1
213,6,86,0
1,1,1,0
248,250,249,0
232,4,1,1
234,8,9,1
214,5,86,0
2,2,2,0
247,249,248,0
234,8,9,1
214,5,86,0
2,2,2,0
247,249,248,0
234,5,2,1
234,8,9,1
218,5,85,0
3,3,3,0
248,248,248,0
234,5,2,1
233,7,8,1
220,4,85,0
3,3,3,0
248,248,248,0
236,4,2,1
235,6,9,1
220,4,85,0
3,3,3,0
248,248,248,0
236,4,2,1
234,5,8,1
220,4,85,0
4,4,4,0
247,247,247,0
234,5,8,1
218,5,87,0
6,6,6,0
247,247,247,0
236,6,6,1
234,5,8,1
217,6,87,0
7,7,7,0
247,247,247,0
233,7,8,1
234,8,9,1
215,6,87,0
8,8,8,0
248,246,247,0
231,9,8,1
235,9,10,1
214,7,87,0
10,10,10,0
248,246,247,0
228,9,7,1
236,11,9,1
212,7,86,0
12,12,12,0
248,246,247,0
237,12,10,1
210,7,86,0
13,13,13,0
248,246,247,0
220,23,15,1
237,12,10,1
206,8,85,0
20,20,20,0
246,246,246,0
202,24,12,1
238,14,14,1
202,10,85,0
29,29,29,0
247,247,247,0
179,22,7,1
238,18,18,1
199,13,86,0
44,44,44,0
247,247,247,0
160,23,5,1
236,22,24,1
191,14,84,0
66,66,66,0
244,244,244,0
233,24,29,1
183,17,83,0
73,73,73,0
220,220,220,0
113,12,0,1
228,32,36,1
175,19,82,0
71,71,71,0
202,202,202,0
104,15,0,1
228,45,50,1
166,21,80,0
49,49,49,0
157,157,157,0
93,15,2,1
233,66,74,1
155,20,76,0
29,29,29,0
140,140,140,0
83,13,3,1
229,79,91,1
146,19,72,0
23,23,23,0
157,157,157,0
229,94,109,1
137,19,69,0
17,17,17,0
187,187,187,0
70,11,3,1
230,109,128,1
131,21,70,0
15,15,15,0
215,215,215,0
68,13,6,1
220,111,132,1
114,19,63,0
15,15,15,0
239,239,239,0
63,13,6,1
202,102,126,1
95,17,56,0
12,12,12,0
246,246,246,0
61,10,6,1
175,81,105,1
79,20,52,0
10,10,10,0
243,243,243,0
216,12,3,1
37,17,76,0
0,0,0,0
251,251,251,0
214,32,28,1
219,12,4,1
34,15,81,0
0,0,0,0
251,251,251,0
219,27,24,1
223,12,5,1
36,14,89,0
0,0,0,0
250,250,250,0
219,24,20,1
225,12,6,1
41,17,105,0
0,0,0,0
250,250,250,0
220,22,19,1
228,10,8,1
47,19,119,0
1,1,1,0
249,251,250,0
229,10,8,1
49,20,128,0
1,1,1,0
249,251,250,0
221,19,15,1
231,9,8,1
48,22,132,0
1,1,1,0
248,250,249,0
219,16,12,1
231,9,8,1
44,18,127,0
1,1,1,0
248,250,249,0
221,13,11,1
233,11,10,1
42,14,114,0
1,1,1,0
248,250,249,0
223,15,13,1
233,11,10,1
48,9,98,0
1,1,1,0
248,250,249,0
233,11,10,1
64,6,82,0
1,1,1,0
248,250,249,0
